

1;Bratislavský kraj;536;575978;339136;58,88;338979;99,95;337558;99,58
2;Trnavský kraj;527;467546;220540;47,16;220450;99,95;219081;99,37
3;Trenčiansky kraj;645;484944;259522;53,51;259442;99,96;257815;99,37
4;Nitriansky kraj;750;568302;247921;43,62;247877;99,98;246475;99,43
5;Žilinský kraj;706;562538;301694;53,63;301616;99,97;299777;99,39
6;Banskobystrický kraj;912;518775;237457;45,77;237386;99,97;235718;99,29
7;Prešovský kraj;1009;631177;292280;46,3;292211;99,97;290371;99,37
8;Košický kraj;855;619773;260309;42;260251;99,97;258569;99,35
