

6;Banskobystrický kraj;606;Zvolen;605;Krupina;45;17836;9439;52,92;9431;99,91;9361;99,25
6;Banskobystrický kraj;606;Zvolen;611;Zvolen;76;55618;29270;52,62;29265;99,98;29098;99,42
6;Banskobystrický kraj;607;Žiar nad Hronom;602;Banská Štiavnica;24;13214;6762;51,17;6762;100;6726;99,46
6;Banskobystrický kraj;607;Žiar nad Hronom;612;Žarnovica;33;21308;10798;50,67;10787;99,89;10705;99,23
6;Banskobystrický kraj;607;Žiar nad Hronom;613;Žiar nad Hronom;56;37923;19387;51,12;19377;99,94;19267;99,43
7;Prešovský kraj;701;Bardejov;701;Bardejov;116;59910;28536;47,63;28527;99,96;28382;99,49
7;Prešovský kraj;702;Humenné;702;Humenné;86;50160;22381;44,61;22378;99,98;22219;99,28
7;Prešovský kraj;702;Humenné;705;Medzilaborce;30;9265;3810;41,12;3810;100;3774;99,05
7;Prešovský kraj;702;Humenné;709;Snina;48;29508;11195;37,93;11190;99,95;11136;99,51
7;Prešovský kraj;703;Kežmarok;703;Kežmarok;67;52474;22579;43,02;22575;99,98;22403;99,23
7;Prešovský kraj;704;Poprad;704;Levoča;47;25706;11625;45,22;11623;99,98;11551;99,38
7;Prešovský kraj;704;Poprad;706;Poprad;89;84173;42696;50,72;42679;99,96;42434;99,42
7;Prešovský kraj;705;Prešov;707;Prešov;180;133786;68121;50,91;68108;99,98;67741;99,46
7;Prešovský kraj;705;Prešov;708;Sabinov;61;43703;19896;45,52;19894;99,98;19719;99,12
7;Prešovský kraj;706;Stará Ľubovňa;710;Stará Ľubovňa;62;39869;17718;44,44;17713;99,97;17575;99,22
7;Prešovský kraj;707;Stropkov;711;Stropkov;52;16141;7395;45,81;7395;100;7336;99,2
7;Prešovský kraj;708;Svidník;712;Svidník;78;25789;11655;45,19;11655;100;11591;99,45
7;Prešovský kraj;709;Vranov nad Topľou;713;Vranov nad Topľou;93;60693;24673;40,65;24664;99,96;24510;99,37
8;Košický kraj;801;Košice;802;Košice I;58;54540;27548;50,5;27541;99,97;27403;99,49
8;Košický kraj;801;Košice;803;Košice II;60;65197;30123;46,2;30113;99,96;29977;99,54
8;Košický kraj;801;Košice;804;Košice III;26;23991;10956;45,66;10951;99,95;10891;99,45
8;Košický kraj;801;Košice;805;Košice IV;54;47660;23514;49,33;23509;99,97;23410;99,57
8;Košický kraj;802;Košice - okolie;806;Košice - okolie;144;96611;41016;42,45;41002;99,96;40680;99,21
8;Košický kraj;803;Michalovce;807;Michalovce;132;86702;32803;37,83;32800;99,99;32574;99,31
8;Košický kraj;803;Michalovce;809;Sobrance;52;17913;7700;42,98;7699;99,98;7658;99,46
8;Košický kraj;804;Rožňava;808;Rožňava;88;47830;18027;37,68;18025;99,98;17886;99,22
8;Košický kraj;805;Spišská Nová Ves;801;Gelnica;31;23915;9225;38,57;9221;99,95;9161;99,34
8;Košický kraj;805;Spišská Nová Ves;810;Spišská Nová Ves;83;73532;31943;43,44;31942;99,99;31752;99,4
8;Košický kraj;806;Trebišov;811;Trebišov;127;81882;27454;33,52;27448;99,97;27177;99,01
