

1;Bratislavský kraj;536;574291;313935;54,66;313836;99,96;309118;98,49
2;Trnavský kraj;527;467840;190871;40,79;190843;99,98;187568;98,28
3;Trenčiansky kraj;645;484954;222276;45,83;222245;99,98;217519;97,87
4;Nitriansky kraj;750;567827;212639;37,44;212628;99,99;209151;98,36
5;Žilinský kraj;706;561539;249227;44,38;249193;99,98;242896;97,47
6;Banskobystrický kraj;912;517370;197545;38,18;197506;99,98;193390;97,91
7;Prešovský kraj;1009;628364;241411;38,41;241371;99,98;234359;97,09
8;Košický kraj;855;617698;219513;35,53;219493;99,99;214984;97,94
